

Symbols from C:\Users\Spence\AppData\Local\Temp\arduino_build_870305/dummy.ino.elf:

Name                  Value   Class        Type         Size     Line  Section

__heap_end          |00000000|   W  |            NOTYPE|        |     |*ABS*
__muluhisi3         |00003266|   T  |            NOTYPE|00000014|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:626
__udivmodsi4        |0000327a|   T  |            NOTYPE|00000044|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:1638
__udivmodsi4_loop   |00003286|   t  |            NOTYPE|        |     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:1646
__udivmodsi4_ep     |000032a0|   t  |            NOTYPE|        |     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:1660
__umulhisi3         |000032be|   T  |            NOTYPE|0000001e|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:564
__ashrdi3           |000032dc|   T  |            NOTYPE|00000004|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:3122
__lshrdi3           |000032e0|   T  |            NOTYPE|00000036|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:3131
__cmpdi2_s8         |00003316|   T  |            NOTYPE|00000018|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:2102
__tablejump2__      |0000332e|   T  |            NOTYPE|00000012|     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:2296
memset              |00003340|   T  |              FUNC|0000000e|     |.text
_exit               |0000334e|   T  |            NOTYPE|        |     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:2278
exit                |0000334e|   W  |            NOTYPE|        |     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:2278
__stop_program      |00003350|   t  |            NOTYPE|        |     |.text	/home/admin/build/toolchain-avr-special/gcc-build/avr/avrxmega4/libgcc/../../../../gcc/libgcc/config/avr/lib1funcs.S:2280
__data_load_start   |00003352|   A  |            NOTYPE|        |     |*ABS*
_etext              |00003352|   T  |            NOTYPE|        |     |.text
__data_load_end     |000035c2|   A  |            NOTYPE|        |     |*ABS*
__DATA_REGION_LENGTH__|00004000|   A  |            NOTYPE|        |     |*ABS*
__stack             |00007fff|   W  |            NOTYPE|        |     |*ABS*
__RODATA_PM_OFFSET__|00008000|   A  |            NOTYPE|        |     |*ABS*
__TEXT_REGION_LENGTH__|00020000|   A  |            NOTYPE|        |     |*ABS*
__DATA_REGION_ORIGIN__|00804000|   A  |            NOTYPE|        |     |*ABS*
__data_start        |00804000|   D  |            NOTYPE|        |     |.data
local_port          |00804000|   d  |            OBJECT|00000002|     |.data
mac                 |00804002|   d  |            OBJECT|00000006|     |.data	C:\Users\Spence\Documents\Arduino\dummy/dummy.ino:25
vtable for EthernetClient|0080400e|   d  |            OBJECT|0000002e|     |.data
vtable for EthernetUDP|0080403c|   d  |            OBJECT|0000002a|     |.data
digital_pin_to_bit_position|00804066|   d  |            OBJECT|00000037|     |.data	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\variants\64pin-standard/pins_arduino.h:465
digital_pin_to_port |0080409d|   d  |            OBJECT|00000037|     |.data	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\variants\64pin-standard/pins_arduino.h:396
digital_pin_to_bit_mask|008040d4|   d  |            OBJECT|00000037|     |.data	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\variants\64pin-standard/pins_arduino.h:533
CSWTCH.77           |0080410b|   d  |            OBJECT|00000005|     |.data
vtable for UartClass|00804110|   d  |            OBJECT|0000001a|     |.data
vtable for IPAddress|0080412a|   d  |            OBJECT|00000006|     |.data
vtable for EthernetServer|00804130|   d  |            OBJECT|00000010|     |.data
__bss_start         |00804270|   B  |            NOTYPE|        |     |.bss
__data_end          |00804270|   D  |            NOTYPE|        |     |.data
_edata              |00804270|   D  |            NOTYPE|        |     |.data
W5100Class::ss_pin_mask|00804270|   b  |            OBJECT|00000001|     |.bss
W5100Class::ss_pin_offs|00804271|   b  |            OBJECT|00000001|     |.bss
W5100Class::CH_BASE_MSB|00804272|   b  |            OBJECT|00000001|     |.bss
timer_millis        |00804273|   b  |            OBJECT|00000004|     |.bss	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\cores\dxcore/wiring.c:43
state               |00804277|   b  |            OBJECT|00000038|     |.bss
EthernetServer::server_port|008042af|   b  |            OBJECT|00000010|     |.bss
W5100Class::chip    |008042bf|   b  |            OBJECT|00000001|     |.bss
W5100Class::init()::initialized|008042c0|   b  |            OBJECT|00000001|     |.bss
INADDR_NONE         |008042c1|   b  |            OBJECT|00000006|     |.bss	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\cores\dxcore\api/IPAddress.cpp:117
Serial0             |008042c7|   b  |            OBJECT|0000009b|     |.bss	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\cores\dxcore/UART0.cpp:58
EthernetClass::_dnsServerAddress|00804362|   b  |            OBJECT|00000006|     |.bss
SPI                 |00804368|   b  |            OBJECT|0000004a|     |.bss	C:\Users\Spence\Documents\Arduino\hardware\DxCore\megaavr\libraries\SPI\src/SPI.cpp:577
DEFAULT_SPI_SETTINGS|008043b2|   b  |            OBJECT|00000002|     |.bss
server              |008043b4|   b  |            OBJECT|00000006|     |.bss	C:\Users\Spence\Documents\Arduino\dummy/dummy.ino:33
ip                  |008043ba|   b  |            OBJECT|00000006|     |.bss	C:\Users\Spence\Documents\Arduino\dummy/dummy.ino:28
__bss_end           |008043c0|   B  |            NOTYPE|        |     |.bss
_end                |008043c0|   N  |            NOTYPE|        |     |.comment
__eeprom_end        |00810000|   N  |            NOTYPE|        |     |.comment
